AAPL US Equity,Quaterly EPS,Share Price,,NVDA US Equity,Quaterly EPS,Share Price,,MNST US Equity,Quaterly EPS,Share Price,,CELH US Equity,Quaterly EPS,Share Price,,RMS FP Equity,Quaterly EPS,Share Price,,P911 GR Equity,Quaterly EPS,Share Price,,GOOGL US Equity,Quaterly EPS,Share Price,,AMZN US Equity,Quaterly EPS,Share Price,,SMCI US Equity,Quaterly EPS,Share Price
6/30/2018,0.59,43.942,,4/29/2018,0.0513,5.601,,6/30/2018,0.24,28.65,,,,,,,,,,,,,,12/31/2022,1.06,88.012,,6/30/2018,0.2605,84.99,,,,
9/29/2018,0.735,53.775,,7/29/2018,0.0453,6.2406,,9/30/2018,0.24,29.14,,,,,,,,,,,,,,3/31/2023,1.18,103.474,,9/30/2018,0.2955,100.15,,,,
12/29/2018,1.055,37.346,,10/28/2018,0.0505,4.9128,,12/31/2018,0.215,24.61,,,,,,,,,,,,,,6/30/2023,1.45,119.404,,12/31/2018,0.309,75.099,,,,
3/30/2019,0.6175,45.602,,1/27/2019,0.0233,3.9718,,3/31/2019,0.24,27.29,,,,,,,,,,,,,,9/30/2023,1.56,130.537,,3/31/2019,0.362,89.038,,,,
6/29/2019,0.55,47.698,,4/28/2019,0.0163,4.4213,,6/30/2019,0.27,31.915,,,,,,,,,,,,,,12/31/2023,1.66,139.345,,6/30/2019,0.266,94.682,,,,
9/28/2019,0.76,52.935,,7/28/2019,0.0228,4.3513,,9/30/2019,0.275,29.03,,,,,,,,,,,,,,3/31/2024,1.91,150.557,,9/30/2019,0.2155,86.796,,,,
12/28/2019,1.2591,70.316,,10/27/2019,0.0368,5.0888,,12/31/2019,0.235,31.775,,,,,,,,,,,,,,6/30/2024,1.91,181.909,,12/31/2019,0.329,92.392,,,,
3/28/2020,0.64,60.254,,1/26/2020,0.0388,6.2363,,3/31/2020,0.26,28.13,,,,,,,,,,,,,,,,,,3/31/2020,0.2545,97.486,,,,
6/27/2020,0.6525,86.24,,4/26/2020,0.0373,7.2144,,6/30/2020,0.295,34.66,,,,,,,,,,,,,,,,,,6/30/2020,0.525,137.941,,,,
9/26/2020,0.74,109.725,,7/26/2020,0.025,10.1634,,9/30/2020,0.33,40.1,,,,,,,,,,,,,,,,,,9/30/2020,0.6315,157.437,,,,
12/26/2020,1.7,129.19,,10/25/2020,0.054,13.5528,,12/31/2020,0.445,46.24,,,,,,,,,,,,,,,,,,12/31/2020,0.719,162.847,,,,
3/27/2021,1.41,118.834,,1/31/2021,0.0588,12.9578,,3/31/2021,0.3,45.545,,,,,,,,,,,,,,,,,,3/31/2021,0.8045,154.704,,,,
6/26/2021,1.31,130.722,,5/2/2021,0.077,14.9777,,6/30/2021,0.38,45.675,,,,,,,,,,,,,,,,,,6/30/2021,0.77,172.008,,,,
9/25/2021,1.25,144.501,,8/1/2021,0.095,19.4622,,9/30/2021,0.32,44.415,,,,,,,,,,,,,,,,,,9/30/2021,0.3115,164.252,,,,
12/25/2021,2.11,173.63,,10/31/2021,0.099,25.5232,,12/31/2021,0.305,48.02,,,,,,,,,,,,,,,,,,12/31/2021,1.4105,166.717,,,,
3/26/2022,1.54,172.313,,1/30/2022,0.12,22.8037,,3/31/2022,0.28,39.95,,,,,,,,,,,,,,,,,,3/31/2022,-0.378,162.998,,,,
6/25/2022,1.2,139.913,,5/1/2022,0.065,18.5207,,6/30/2022,0.26,46.35,,,,,,,,,,,,,,,,,,6/30/2022,-0.2,106.21,,,,
9/24/2022,1.29,148.782,,7/31/2022,0.026,18.141,,9/30/2022,0.305,43.48,,,,,,,,,,,,,,,,,,9/30/2022,0.28,113,,,,
12/31/2022,1.89,128.719,,10/30/2022,0.027,13.8214,,12/31/2022,0.29,50.765,,,,,,,,,,,,,,,,,,12/31/2022,0.03,84,,,,
4/1/2023,1.53,163.613,,1/29/2023,0.057,20.3516,,3/31/2023,0.38,54.01,,,,,,,,,,,,,,,,,,3/31/2023,0.31,103.29,,,,
7/1/2023,1.27,192.722,,4/30/2023,0.083,27.7355,,6/30/2023,0.4,57.44,,,,,,,,,,,,,,,,,,6/30/2023,0.66,130.36,,,,
9/30/2023,1.47,170.338,,7/30/2023,0.25,46.7321,,9/30/2023,0.43,52.95,,,,,,,,,,,,,,,,,,9/30/2023,0.96,127.12,,,,
12/30/2023,2.19,191.802,,10/29/2023,0.375,40.4878,,12/31/2023,0.35,57.61,,,,,,,,,,,,,,,,,,12/31/2023,1.03,151.94,,,,
3/30/2024,1.53,171.05,,1/28/2024,0.498,61.0179,,3/31/2024,0.42,59.28,,,,,,,,,,,,,,,,,,3/31/2024,1,180.38,,,,
6/29/2024,1.4,210.377,,4/28/2024,0.604,87.7203,,6/30/2024,0.41,49.95,,,,,,,,,,,,,,,,,,6/30/2024,1.29,193.25,,,,
,,,,7/28/2024,0.68,113.0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
